"rf_cum_3_day","temperature","ws","deg_from_north","dow","working_days","hour","pre_peak_hour","pm10"
2,18.5,0.5,109,5,1,5,1,16
0.2,14.7,2.9,165,6,0,21,0,13.5
3,13.6000003815,2.5,5,4,1,8,1,13.8999996185
0,9.4,2.1,2,6,0,9,0,24.8
0,19,1,120,1,1,6,1,15.1
1.2,7.8,1.1,89,5,1,3,0,10.5
0,20,2.9000000954,176,7,0,21,0,26.3999996185
0,23.3999996185,4.1999998093,4,6,0,9,0,78
0,32.0999984741,3,39,1,1,14,0,29.2999992371
3,9.6,4,12,2,1,5,1,12.7
0,19.5,4.1,10,6,0,9,0,20
0,14.9,4.8,139,3,1,0,0,16.6
6,16.2000007629,3.9000000954,127,4,1,11,0,15.3000001907
0,22.5,1.1,109,4,1,9,0,56.4
0,25.6000003815,4.4000000954,32,1,1,12,0,55
0,20.7000007629,0.8999999762,44,3,1,1,0,27.8999996185
0,15.3000001907,1.7999999523,139,7,0,21,0,14.6999998093
0.2,5.1999998093,1.1000000238,18,6,0,5,1,26.1000003815
8.6,16,3.4000000954,175,5,1,1,0,8.3000001907
0,20.2,4.4,171,3,1,13,0,16.6
0,27.2,5,14,1,1,15,1,52.9
0.2,16.2000007629,2.7999999523,121,1,1,13,0,10.8000001907
0.6,6.4000000954,1.1000000238,19,4,1,5,1,29.6000003815
0,7.2,1.1,12,7,0,0,0,30.4
0.6,9.6999998093,1.5,104,6,0,3,0,7.4000000954
27.4,15.1000003815,1,144,5,1,2,0,0
1.6,17.9,4,17,2,1,15,1,12.3
0,29.7,3.5,1,5,1,0,0,34.3
1.2,14.3000001907,3.9000000954,12,6,0,23,0,13.8000001907
0.6,14.5,4.2,160,5,1,12,0,22.4
0,13.3,2.7,132,4,1,23,0,7.1
1.6,14.6999998093,3.4000000954,12,3,1,13,0,33.2999992371
0.2,13,2.1,102,4,1,4,0,19.3
4.2,11.4,5.6,91,5,1,11,0,19.6
5.8,15,2.8,158,1,1,23,0,12.2
0,18.9,3.2,178,5,1,12,0,8.2
3,17.2,3.5,164,1,1,22,0,13.8
4.6,16.1,2,136,6,0,9,0,22.3
33.6,17.2000007629,1.1000000238,167,3,1,20,0,13.5
0,16.2,4.5,178,6,0,17,0,28.7
0,9.5,1.7,71,6,0,9,0,43.7
0,9.4,2.7,54,4,1,15,1,18.5
0.6,5.7,0.3,14,4,1,5,1,17.7
4,12.1000003815,2.5999999046,10,2,1,22,0,3.9000000954
7.8,11.5,2.5999999046,67,2,1,8,1,18.7000007629
2.6,14.6999998093,2.0999999046,158,3,1,12,0,18.3999996185
2,12.9,2.8,158,1,1,13,0,11.9
0,15,2.2000000477,57,7,0,6,1,8.1000003815
0,20.3,0.7,152,1,1,9,0,19.4
0.4,8.6999998093,1.3999999762,46,5,1,8,1,96.4000015259
11,5.5,0.7,8,3,1,4,0,12.3
2.2,13.3999996185,2.7000000477,38,4,1,4,0,13.3000001907
6.6,6.1999998093,1.5,26,4,1,4,0,14.8999996185
0,15.5,2.7000000477,102,1,1,5,1,7.5
0,21,3.1,160,5,1,16,1,37
0.4,16.4,2.2,98,6,0,10,0,14.7
0,8.8000001907,1.7000000477,11,1,1,6,1,24.1000003815
0.2,18.6,4.1,180,2,1,19,0,11.7
0,20.2999992371,0.8999999762,96,4,1,22,0,26.7999992371
1.6,15.1000003815,1,40,7,0,19,0,11.1999998093
3,16.1000003815,3.2000000477,171,3,1,20,0,17.2000007629
0.6,16.7999992371,2.9000000954,164,7,0,10,0,13.5
0.4,12.6,4.1,172,1,1,17,0,16.8
0,15.3,2.7,180,3,1,12,0,25.7
12.2,5.1999998093,1.1000000238,1,6,0,23,0,18.2000007629
2.8,11.1999998093,3.7999999523,108,1,1,13,0,8.1999998093
0,19.6,1.6,169,6,0,14,0,54.9
0,8.1999998093,2,24,5,1,5,1,25.2000007629
0,20.6000003815,4.0999999046,9,7,0,3,0,30.2999992371
0.4,15.8000001907,3.2999999523,167,5,1,17,0,15
0,19.5,2.6,173,2,1,13,0,7.2
13.6,12.8000001907,2.9000000954,78,3,1,3,0,11.3999996185
2.6,13.1000003815,1.7999999523,100,7,0,13,0,13
0,19.7000007629,1,148,5,1,1,0,7.0999999046
6.2,7.5,2.5999999046,15,2,1,8,1,24.1000003815
0,19,2.3,145,1,1,21,0,30.1
6.6,10.6999998093,2,14,5,1,22,0,5.5999999046
0,11.2,1.7,23,3,1,22,0,47.5
7.2,10.3999996185,2.0999999046,13,3,1,7,1,29.2000007629
0.6,16.7000007629,2.4000000954,134,3,1,19,0,11.3999996185
0,9.3999996185,1,14,3,1,6,1,45
3.2,10.5,2,60,5,1,2,0,9.8999996185
0,16.6,2.5,120,1,1,7,1,13.9
0,15.3000001907,1.7000000477,11,5,1,3,0,16
28,10.8999996185,2.2999999523,90,5,1,8,1,12.6000003815
3.8,19.9,3.1,1,3,1,1,0,27.4
0,19.8,2.8,133,1,1,14,0,15.7
4.2,19.8999996185,2.9000000954,161,6,0,0,0,9.3999996185
0,18.4,3.6,9,1,1,12,0,64.9
3,24.7000007629,1.7999999523,18,2,1,17,0,16.7000007629
0,15.5,2.5999999046,112,6,0,4,0,24
0,24.6,3.4,36,2,1,3,0,24.8
12.2,7.5,1.6000000238,0,5,1,5,1,5.4000000954
9.6,11.6999998093,3.2000000477,5,2,1,1,0,10.6999998093
0,28,3.7,4,2,1,14,0,101
0,12.9,1.2,43,7,0,23,0,12
0,17.7000007629,1.8999999762,163,4,1,16,1,22.7999992371
0,23.3,3,170,3,1,13,0,21.1
20.2,23,1.5,138,7,0,11,0,16.6000003815
1,5.9,0.9,56,4,1,3,0,18.9
0.4,19.6,3.7,16,3,1,10,0,92.5
0,26.2,4.5,2,7,0,10,0,55.1
0.6,14.5,3.8,112,6,0,15,1,10
11.6,10.6000003815,4.8000001907,97,6,0,13,0,13.3999996185
0.6,15.6000003815,6.5,13,7,0,9,0,11.3999996185
0.4,15.3,2.9,17,5,1,3,0,13.2
3.4,6.6999998093,1,20,4,1,3,0,22.5
0.2,12.9,5.6,68,2,1,14,0,13.8
22.8,11.3999996185,1,147,3,1,22,0,15.6999998093
0.8,7.4000000954,1.2000000477,15,1,1,1,0,13.8000001907
0.2,21.5,4,12,5,1,6,1,58.4000015259
0,10.1999998093,1.2000000477,137,1,1,3,0,15.3000001907
0,12.7,1.9,26,5,1,6,1,7.1
0,30.7999992371,3.7000000477,6,7,0,14,0,5.6999998093
0,20.6,1.9,98,6,0,0,0,27.3
42,20.7999992371,5.0999999046,18,7,0,11,0,4.6999998093
0.2,9.2,1.9,12,6,0,7,1,31.9
0.4,10.3,3,167,2,1,5,1,13.6
3.8,14.5,2.4000000954,53,3,1,16,1,34.7999992371
0,12.7,3.8,148,7,0,13,0,15
0.8,20.8999996185,3.4000000954,140,1,1,13,0,11.5
3.4,11.3000001907,5.6999998093,0,6,0,18,0,13
0,22.3999996185,3.7999999523,165,4,1,18,0,17.2999992371
28.6,8.1,0.7,131,1,1,20,0,21
12.6,10.6000003815,1.2999999523,40,2,1,8,1,11.5
0.4,11.8999996185,1.7000000477,119,3,1,4,0,15.1000003815
2,7.5999999046,0.6999999881,3,2,1,21,0,49.9000015259
0,14.6,2.1,36,5,1,18,0,7.9
0.8,8.8,2.1,6,6,0,8,1,28.1
0.2,21.1,1.5,97,3,1,23,0,37.1
2.2,13.5,0.4,20,4,1,10,0,34
4.8,10.8999996185,2,14,7,0,4,0,4.6999998093
6.6,16,3.9000000954,31,7,0,11,0,5.6999998093
13.6,13.6000003815,4.3000001907,55,3,1,8,1,26.1000003815
8.2,10.8999996185,2,45,7,0,6,1,4.0999999046
0,23.3999996185,5.5999999046,171,6,0,12,0,33
0,22,2.9,148,5,1,21,0,25.7
0.8,22.7999992371,4.0999999046,3,5,1,16,1,30.1000003815
1.2,14.8,4.2,118,3,1,13,0,17.3
8.2,13.6000003815,0.400000006,20,7,0,19,0,20.1000003815
10.6,6.9000000954,1.7999999523,44,3,1,3,0,8.5
1,17.7,5.3,4,4,1,16,1,38.8
0,14,2.5,125,7,0,22,0,19.2000007629
0,20.8999996185,3.5,24,6,0,9,0,35.0999984741
0,10,4,1,1,1,23,0,13.3
3.8,9.6000003815,1.6000000238,101,5,1,0,0,10.5
0,16.4,2.5,126,1,1,1,0,12.7
0.6,11.6,2.5,3,5,1,3,0,10.4
0,29.6,4.1,83,4,1,16,1,29.3
0,17.8,2.2,131,7,0,9,0,17.5
0,17.8,2.1,120,5,1,7,1,20.5
0,31.7999992371,3.5,164,2,1,17,0,18.7000007629
1.6,18.3,3.4,168,7,0,13,0,12.4
0,19.5,1.6,73,5,1,23,0,30.8
0,19.2000007629,1.2000000477,33,7,0,8,1,27.5
0.6,15.3999996185,2.7999999523,96,7,0,9,0,12
0.8,23.5,4.4,163,6,0,13,0,31.3
0.4,17.7999992371,4.1999998093,170,1,1,17,0,26
0,14.8,0.8,39,4,1,1,0,37.5
0,20,2.7,178,7,0,15,1,21.4
0.4,6.5,1.2,26,2,1,23,0,33.1
1,17,1.8999999762,113,5,1,12,0,14.3999996185
1,14.5,3.0999999046,2,6,0,21,0,15
0,11.6,5.7,13,3,1,6,1,42.4
14.2,19,1.6000000238,147,6,0,19,0,24.1000003815
10.6,16.1000003815,4,93,5,1,10,0,9.3999996185
0,24.3,4.7,142,3,1,15,1,35.4
1.8,6.5999999046,2,93,3,1,0,0,9.5
2.6,13.1999998093,1.6000000238,93,7,0,14,0,15.1999998093
0.8,12.5,1.2000000477,20,3,1,6,1,14.5
0,21,0.3,51,5,1,2,0,15.5
0,21.9,3.6,178,3,1,14,0,43.5
0,18.3999996185,3.5,166,6,0,20,0,16.6000003815
2,6.1999998093,0.6000000238,19,2,1,5,1,8.5
6.6,10.5,2.2999999523,47,7,0,17,0,2.9000000954
4.4,25.1,5.3,2,3,1,15,1,96.4
0,17,4.3,169,7,0,16,1,11.2
3.2,14,2.3,3,5,1,1,0,3.8
0.4,14.5,2.5,158,4,1,20,0,9.5
